25.Q2.5							
							
PmEvent Name	Compound Type	Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Type	Containing Oneof	Filters
CuCpNgErrorIndicationDedicated	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgErrorIndicationDedicated	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgErrorIndicationDedicated	Guami	plmn_identity	1	Payload	bytes		
CuCpNgErrorIndicationDedicated	Guami	amf_region_id	2	Payload	int64		
CuCpNgErrorIndicationDedicated	Guami	amf_set_id	3	Payload	int64		
CuCpNgErrorIndicationDedicated	Guami	amf_pointer	4	Payload	int64		
CuCpNgErrorIndicationDedicated	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgErrorIndicationDedicated	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverCancel	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverCancel	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverCancel	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverCancel	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverCancel	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverCancel	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverCancel	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverCancel	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverCancel	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverCancelAcknowledge	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverCancelAcknowledge	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverCancelAcknowledge	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverCancelAcknowledge	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverCancelAcknowledge	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverCancelAcknowledge	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverCancelAcknowledge	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverCancelAcknowledge	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverCancelAcknowledge	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverCommand	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverCommand	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverCommand	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverCommand	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverCommand	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverCommand	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverCommand	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverCommand	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverCommand	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverFailure	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverFailure	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverFailure	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverFailure	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverFailure	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverFailure	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverFailure	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverFailure	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverNotify	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverNotify	Asn1Message	msg_content	2	Payload	bytes		
CuCpNgHandoverNotify	Asn1Message	protocol_name	3	Payload	repeated <enum ProtocolName>		
CuCpNgHandoverNotify	Guami	plmn_identity	1	Payload	bytes		
CuCpNgHandoverNotify	Guami	amf_region_id	2	Payload	int64		
CuCpNgHandoverNotify	Guami	amf_set_id	3	Payload	int64		
CuCpNgHandoverNotify	Guami	amf_pointer	4	Payload	int64		
CuCpNgHandoverNotify	GlobalGnbId	plmn_identity	1	Payload	bytes		
CuCpNgHandoverNotify	GlobalGnbId	gnb_id	2	Payload	int64		
CuCpNgHandoverPreparationFailure	Asn1Message	msg_direction	1	Payload	enum MsgDirection		
CuCpNgHandoverPreparationFailure	Asn1Message	msg_content	2	Payload	bytes		
