PmEvent Name	Event Id	Event Type	Event Description and Trigger	STANDARDIZED or PROPRIETARY	Event Groups	Message Trace Depth (UE Trace)	Interface Classification (UE Trace)	DeprecatedSince	ReasonForDeprecation	Periodicity (seconds)	SupportedBands	SupportedDeployments	License	LimitationReason	EventStatus
DuF1UeContextSetupFailure	2021	UE	UE CONTEXT SETUP FAILURE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextSetupRequest	2022	UE	UE CONTEXT SETUP REQUEST message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1UeContextSetupResponse	2023	UE	UE CONTEXT SETUP FAILURE message. See 3GPP TS 38.473.	STANDARDIZED		0,2,3,5	F1				Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	Not verified for NR SA	USED
DuF1WriteReplaceWarningRequest	2079	DU	Monitors the PWS WRITE-REPLACE WARNING REQUEST in DU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Not supported in MSRBS	USED
DuF1WriteReplaceWarningResponse	2080	DU	Monitors the PWS WRITE-REPLACE WARNING RESPONSE in DU.	STANDARDIZED							Low-band, Mid-band	NR SA, CR NR SA	N/A	Not supported in MSRBS	USED
DuRrcReestablishmentRequest	2061	UE	Applied only when RRCReestablishmentRequest message is ignored by DU because of Baseband connection intensity control or Baseband MP load control indicating OVERLOAD state. Never sent to CUCP. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
DuRrcReject	2041	UE	Applied only when RRCReject message is sent by DU because of Baseband connection intensity control. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
DuRrcResumeRequest	2060	UE	Only applicable when RRCResumeRequest message is rejected by gNodeB-DU because of Baseband connection intensity control or Baseband MP load control indicating OVERLOAD or VERY HIGH state. Never sent to gNodeB-CU-CP. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band	NR SA	N/A		USED
DuRrcSetupRequest	2040	UE	Applied only when RRCSetupRequest is rejected by DU because of Baseband connection intensity control. Never sent to CUCP. See 3GPP TS 38.331.	STANDARDIZED							Low-band, Mid-band, High-band	NR SA	N/A		USED
DuPerRadioUeMeasurement	2004	UE	Periodic measurements of UE radio environment.	STANDARDIZED	CCTR	1,2	UU			1	Low-band, Mid-band, High-band	EN-DC, NR SA	N/A	High-band not ready	USED
DuPerUeRbTrafficRep	2008	UE	Periodic measurements of Radio Bearer (RB) traffic.	STANDARDIZED	CCTR	1,2	UU			1	Low-band, Mid-band, High-band	EN-DC, NR SA	N/A		USED
DuPerUeRbTrafficRepAggr10	2067	UE	Time-aggregated periodic measurements of Radio Bearer (RB) traffic. Time interval is 10 s.	STANDARDIZED						10	Low-band, Mid-band, High-band	EN-DC, NR SA	N/A		USED
DuPerUeRbTrafficRepAggr60	2065	UE	Time aggregated periodic measurements of Radio Bearer (RB) traffic.	STANDARDIZED						60	Low-band, Mid-band, High-band	EN-DC, NR SA	LicenseKeyId: CXC4012601, LicenseMoId: AggregatedPmEvents, LicenseName: Aggregated Pm Events		USED
DuPerUeTrafficRep	2001	UE	Periodic measurements of UE traffic.	STANDARDIZED	CCTR	1,2	UU			1	Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
DuPerUeTrafficRepAggr10	2068	UE	Time-aggregated periodic measurements of UE traffic. Time interval is 10 s.	STANDARDIZED						10	Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A		USED
DuPerUeTrafficRepAggr60	2066	UE	Time aggregated periodic measurements of UE traffic.	STANDARDIZED						60	Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	LicenseKeyId: CXC4012601, LicenseMoId: AggregatedPmEvents, LicenseName: Aggregated Pm Events		USED
